LON,LAT,DATASET,count_same
111.25,27.0,SOCSR,3
111.8756,26.7617,SOCSR,26
116.5667,28.95,SOCSR,33
116.925,28.2583,SOCSR,10
112.4814,29.2175,SOCSR,7
116.0916,28.3353,SOCSR,2
112.8267,22.2608,SOCSR,1
116.1667,28.35,SOCSR,58
112.84,28.269,SOCSR,12
116.9942,31.5342,SOCSR,2
116.4333,28.6167,SOCSR,22
111.4333,28.9167,SOCSR,38
115.0581,26.7414,SOCSR,19
113.6167,28.15,SOCSR,5
113.3312,28.5512,SOCSR,4
113.3333,28.6167,SOCSR,50
111.5,28.9167,SOCSR,11
116.34,28.2583,SOCSR,45
115.839,28.768,SOCSR,5
113.3311,28.5511,SOCSR,8
116.1725,28.3517,SOCSR,4
111.4833,29.1667,SOCSR,6
116.0911,28.3361,SOCSR,3
111.55,28.9167,SOCSR,20
111.55,27.6333,SOCSR,2
115.8292,28.7639,SOCSR,5
113.2014,28.1419,SOCSR,6
111.8451,26.5877,SOCSR,1
112.0,28.05,SOCSR,3
112.823,28.367,SOCSR,5
115.864,28.6897,SOCSR,5
116.2485,28.384,SOCSR,5
116.9167,28.25,SOCSR,14
116.3333,28.25,SOCSR,5
113.35,28.4667,SOCSR,3
113.2,28.1383,SOCSR,4
115.9333,28.5667,SOCSR,13
111.7,27.9333,SOCSR,4
114.1469,29.5256,SOCSR,3
115.9333,28.1167,SOCSR,6
111.87,26.76,SOCSR,4
117.8332,39.3012,SOCSR,5
119.0694,26.2253,SOCSR,8
111.493,28.9134,SOCSR,18
106.6644,26.4969,SOCSR,5
112.3056,29.1914,SOCSR,7
115.931,28.5592,SOCSR,5
116.6101,28.2542,SOCSR,5
114.8833,26.8,SOCSR,4
113.8379,23.3247,SOCSR,6
125.847,42.6478,SOCSR,8
122.7713,41.5909,SOCSR,8
115.9403,28.5756,SOCSR,5
114.601,22.8359,SOCSR,4
119.4669,29.0194,SOCSR,5
123.5333,40.8,SOCSR,3
111.8731,26.7533,SOCSR,11
113.3333,23.1333,SOCSR,3
120.6917,30.6417,SOCSR,3
111.45,28.9167,SOCSR,2
111.9,28.4667,SOCSR,4
111.8556,28.93,SOCSR,10
111.4405,28.9305,SOCSR,3
116.1667,28.25,SOCSR,3
106.1931,38.1239,SOCSR,6
123.8333,45.5833,SOCSR,4
116.1758,28.3525,SOCSR,40
115.99,28.62,SOCSR,3
116.36,28.71,SOCSR,3
112.72,28.38,SOCSR,3
108.3197,22.82,SOCSR,4
123.8408,45.5994,SOCSR,5
80.690278,20.298333,SOCSR,1
86.054167,24.025,SOCSR,6
91.923611,25.689167,SOCSR,4
85.916667,20.416667,SOCSR,10
127.1480657,35.8242715,SOCSR,3
110.012778,-7.546944,SOCSR,1
91.373333,24.431667,SOCSR,4
91.316208,23.906672,SOCSR,6
90.416667,24.15,SOCSR,5
0.066667,6.15,SOCSR,4
85.808333,20.275,SOCSR,4
86.0,20.0,SOCSR,10
-16.233333,16.233333,SOCSR,6
-15.766667,16.55,SOCSR,6
81.733333,16.616667,SOCSR,6
85.816667,20.283333,SOCSR,5
108.2833,22.85,Yield,66
123.5333,40.8,Yield,15
119.9336,30.0803,Yield,20
113.2,28.1,Yield,30
122.18,41.04,Yield,1
112.1833,30.8667,Yield,26
116.0167,28.7167,Yield,4
115.55,29.85,Yield,325
118.63,32.85,Yield,4
119.1,33.77,Yield,4
119.25,33.86,Yield,4
119.95,30.05,Yield,42
113.0764,28.1997,Yield,4
113.05,28.4333,Yield,15
118.6333,28.35,Yield,2
124.95,43.6333,Yield,1
114.8,28.65,Yield,8
113.6167,28.15,Yield,224
112.4667,26.8833,Yield,28
119.6667,32.6667,Yield,18
115.8314,28.7689,Yield,4
119.9,30.0833,Yield,24
117.4667,31.4333,Yield,12
111.91,28.77,Yield,24
118.63,28.73,Yield,12
113.1333,28.4167,Yield,12
120.2,30.3,Yield,222
119.9557,30.0517,Yield,192
115.7333,30.0,Yield,8
115.6167,29.4833,Yield,4
115.6,29.9833,Yield,18
120.8333,30.8167,Yield,6
103.95,30.8167,Yield,40
103.9167,30.8667,Yield,10
105.5333,30.8667,Yield,5
103.8667,30.7167,Yield,9
112.5167,30.35,Yield,62
113.5833,31.7175,Yield,9
120.082,30.295,Yield,12
120.1047,28.8911,Yield,24
127.6792,46.9578,Yield,24
109.8833,23.3167,Yield,2
118.9973,32.7294,Yield,3
112.1667,30.525,Yield,9
112.3667,30.65,Yield,9
111.7891,30.8208,Yield,9
127.3,47.15,Yield,8
125.1167,46.6667,Yield,10
124.5644,44.8815,Yield,42
120.7,31.55,Yield,6
112.9667,29.9167,Yield,9
104.8833,25.0083,Yield,28
112.5466,28.2813,Yield,20
113.0667,28.1833,Yield,95
112.05,24.0667,Yield,12
111.8833,29.05,Yield,6
113.9167,25.9833,Yield,30
112.4167,29.35,Yield,38
112.95,22.0833,Yield,8
114.05,24.3167,Yield,8
106.4333,30.4333,Yield,11
112.9833,28.2,Yield,32
127.0667,45.8667,Yield,8
113.3311,28.5511,Yield,36
112.0575,24.0644,Yield,36
108.8786,23.1592,Yield,36
110.1978,19.7533,Yield,24
113.0708,28.1864,Yield,36
104.9322,25.1211,Yield,24
104.2667,31.2333,Yield,24
112.0883,30.5825,Yield,24
115.1267,28.2625,Yield,40
119.5333,32.0,Yield,22
120.8833,31.1167,Yield,8
118.7,32.0333,Yield,15
100.5667,26.2167,Yield,15
102.6167,29.4833,Yield,4
114.328,30.4903,Yield,90
