temp,pre
15.799999,1021.5
16.45,1057.8
16.45,1057.8
16.45,1057.8
16.625002,1069.6001
16.625002,1069.6001
16.625002,1069.6001
15.799999,1021.5
17.199999,1916.5001
17.341667,1619.0001
17.191668,1534.7999
15.449998,997.4001
15.449998,997.4001
15.449998,997.4001
15.449998,997.4001
16.125,922.8
16.125,922.8
16.125,922.8
16.125,922.8
16.491667,1952.4
16.491667,1952.4
16.491667,1952.4
16.491667,1952.4
17.225,1432.6
17.225,1432.6
17.225,1432.6
17.225,1432.6
16.883333,1657.3
16.883333,1657.3
16.883333,1657.3
16.883333,1657.3
16.783335,1955.2001
16.783335,1955.2001
16.783335,1955.2001
16.783335,1955.2001
17.199999,1916.5001
17.199999,1916.5001
17.199999,1916.5001
17.199999,1916.5001
17.341667,1619.0001
17.341667,1619.0001
17.341667,1619.0001
17.341667,1619.0001
17.509998,1410.7001
17.509998,1410.7001
17.509998,1410.7001
18.09167,1278.8002
18.09167,1278.8002
18.09167,1278.8002
18.016666,1095.3
18.016666,1095.3
19.058332,1407.0
19.183332,1617.0
19.5,1755.5001
19.533333,1720.9
19.425001,1499.8002
19.383333,1564.7001
19.666666,1628.0
19.058332,1407.0
19.183332,1617.0
19.5,1755.5001
19.533333,1720.9
19.425001,1499.8002
19.383333,1564.7001
19.666666,1628.0
17.491667,1116.2
17.491667,1116.2
